Ano;Receita;CresRec;Ebit;Margem_Ebit(%);IR;IR/EBIT;Imobilizado;CresImob;Deprec;Deprec/Imob;Capex;Capex/Imob;Varcapgiro
2014;7840.8;0.148179;1094.4;0.139578;-265.6;0.24269;2878;0.100574;-250.5;0.08704;-424.7;0.147568;411
2015;9760.3;0.244809;1158.2;0.118664;-137.9;0.119064;3265;0.134468;-319.4;0.097825;-468.1;0.143369;1410
2016;9367.0;-0.0403;1063.7;0.113558;-151.7;0.142615;3033;-0.07106;-343.3;0.113188;-325.5;0.107319;-246
2017;9523.8;0.01674;1182.4;0.124152;-99.5;0.084151;3160;0.041873;-283.9;0.089842;-265.8;0.084114;-760
2018;11970.1;0.256862;1507.0;0.125897;-153.4;0.101791639;3542;0.1208861;-317.0;0.0894975;-429.4;0.1212309;-684
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
